,0,243812,187323,910703,250636,967282,209982,235626,243317,137524,210029,167514,146540,253163,199603,180207,941752,118523,933050,189031,257811,197087,264347,250991,230322,240776,976389,284330,206983,266882,136864,284824,241931,261474,153593,service_time
189031,21.3,32,32.4,26.7,29.1,29.7,30.7,29.2,28.3,33.1,31.5,21.6,22.9,21.1,20,19.9,6.1,6,2.5,0,27,23.8,25.6,22.7,27.5,25.1,22.4,15.9,15.4,15.4,13.4,15.2,17.4,17.1,16.2,5
257811,24.4,35.2,34.4,19.8,18.7,19.1,20.2,22.8,19.7,22.6,20.9,24.7,26,33,32.4,32.8,24.2,23.7,26.2,27.4,0,28.7,30.6,31.3,20.6,33.8,31,23.1,23.1,23.1,21.6,21.5,32.3,32,32.6,0
197087,13.4,39.6,38.8,27.1,29.5,30.1,31.2,29.6,28.7,33.6,31.9,13.8,15,20.3,19.6,20.8,22.8,22.4,24.8,26,29.1,0,5,8.9,28.1,11.7,9.2,23.3,23.4,23.4,21.9,21.7,21.9,21.6,22,0.5
264347,14.9,41,40.3,28.6,31,31.6,32.7,31.1,30.2,35,33.4,15.2,17.2,19.7,19,20.2,22.7,22.3,24.7,25.9,30.7,5.1,0,4.5,29.6,7.2,4.7,24.8,24.9,24.9,23.4,23.2,23.4,23.1,27.8,6
250991,14.8,40.9,40.1,28.4,30.8,31.4,32.5,30.9,30,34.9,33.2,15.2,15,17.4,16.8,17.9,20.5,20,22.4,23.6,30.7,9.2,4.9,0,29,5.3,1.7,24.7,24.8,24.9,23.4,23.1,22.7,22.4,28.2,1
230322,24.3,42.3,41.5,29.9,32.2,32.9,33.9,32.4,31.4,36.3,34.6,24.7,25.2,30.4,29.4,29.4,25.7,25.2,27.7,28.9,20.6,28.6,30.5,30.8,0,33.3,30.6,23.4,23.3,23.9,23.2,23.1,29.2,28.9,29.6,5
240776,16.1,43.5,42.7,31,33.4,34.1,35.1,33.6,32.6,37.4,35.8,16.5,16.3,16.1,15.4,16.6,22.7,22.2,24.6,24.1,32.4,11.9,7.7,5,31.2,0,6.8,24.9,25.6,26.1,25.7,25.6,26.9,26.6,20.4,3
976389,16.1,42.5,41.8,30.1,32.5,33.1,34.1,32.5,31.7,36.4,34.9,16.5,16.3,17.9,17.2,18.4,21.8,21.3,23.7,24.9,31.9,7.5,3.2,1.6,30.3,4.6,0,26.6,26.3,26.2,24.7,24.6,29.9,29.6,24.5,2.2
284330,14.8,32.6,31.8,20.1,22.5,23.2,24.2,22.7,21.7,26.6,24.9,15.2,14.5,13.4,12.3,12.3,13.6,13.1,15.5,16.8,20.6,19.1,21,21.7,21,24.2,21.5,0,2.8,3.3,6,4.5,12.3,12,12.3,4.4
206983,14.5,33.8,33,21.4,23.8,24.4,25.4,23.9,23,27.8,26.1,14.6,13.7,12.6,11.5,11.5,11.9,11.3,13.8,15,21.8,20.4,22.3,23,22.3,25.4,22.7,1.3,0,0.6,3.3,3.1,11.5,11.2,11.4,1.7
266882,14.9,33.8,33.1,21.4,23.8,24.4,25.5,23.9,23,27.8,26.1,15,14.1,13,11.9,11.9,11.9,11.3,13.8,15,21.8,20.4,22.3,23,22.3,25.9,22.7,1.7,0.4,0,3.3,3.1,11.9,11.6,11.8,5.8
136864,15.9,33.7,32.9,21.3,23.6,24.3,25.3,23.8,22.9,27.7,26,16.2,16.9,15,13.9,13.8,8.6,10.2,12.8,13.9,21.7,20.2,22.1,22.8,22.1,25.3,22.5,4.5,3.3,3.3,0,4.2,10.7,10.4,10.9,6
284824,14.6,32.5,31.7,20,22.4,23.1,24.1,22.6,21.6,26.4,24.8,15,16.2,16.1,15,14.9,13,12.4,14.9,16.1,20.6,18.9,20.9,21.5,21.2,24,21.3,4.7,3.4,3.5,4.5,0,14.3,14.1,14.9,4.7
241931,11.5,39.8,40.2,30.9,33.2,33.9,34.9,33.4,32.5,37.3,35.6,11.6,10.7,7.3,6.2,6.2,11.8,13.3,15.9,17.1,31.9,19.5,21.4,21.8,29.1,22.4,21.8,11.1,11.8,12.4,11.6,14.2,0,0.3,2.1,3.2
261474,11.2,40,40.4,30.6,32.9,33.6,34.6,33.1,32.1,37,35.3,11.2,10.3,7,5.9,5.8,11.9,13.4,16,17.2,31.6,19.2,21.1,21.5,28.8,21.1,21.5,10.8,11.5,12.1,11.2,13.7,0.3,0,1.8,4.4
153593,10.8,39.6,40,30.2,32.6,33.3,34.3,32.8,31.8,36.7,35,10.9,10,7.5,6.4,6.3,11.4,13,15.6,16.8,31.4,18.9,20.8,21.9,28.4,21.6,21.2,10.4,11.2,11.7,10.7,13.2,1.2,1.4,0,9.6
